country,state,style,name,brewery
United States,Oregon,American Barleywine,XS Old Crustacean,Rogue Ales
United States,California,American Pale Ale (APA),Grunion Pale Ale,Ballast Point Brewing Company
United States,California,American Barleywine,Sierra Nevada Bigfoot Barleywine Style Ale - Barrel-Aged,Sierra Nevada Brewing Co.
United States,Oregon,Russian Imperial Stout,Imperial Stout,Rogue Ales
United States,California,American IPA,Indica India Pale Ale,Lost Coast Brewery and Cafe
United States,Oregon,American Double / Imperial IPA,XS Imperial India Pale Ale,Rogue Ales
United States,Missouri,American Double / Imperial Stout,Barrel-Aged Abraxas,Perennial Artisan Ales
United States,Michigan,American Black Ale,Dark Horse Reserve Special Black Ale,Dark Horse Brewing Company
United States,Minnesota,English Pale Ale,Summit Extra Pale Ale,Summit Brewing Company
United States,Oregon,Saison / Farmhouse Ale,Peche 'n Brett,Logsdon Farmhouse Ales
United States,Vermont,English India Pale Ale (IPA),Long Trail India Pale Ale,Long Trail Brewing Co.
United States,Michigan,American Pale Ale (APA),Bell's Pale Ale,"Bell's Brewery, Inc."
United States,Washington,Pumpkin Ale,Night Owl Pumpkin Ale,Elysian Brewing Company
United States,Oregon,Oatmeal Stout,Shakespeare Oatmeal Stout,Rogue Ales
United States,Massachusetts,English Pale Ale,Whale's Tale Pale Ale,Cisco Brewers Inc.
United States,California,American IPA,Anchor Liberty Ale,Anchor Brewing Company
United States,California,American Amber / Red Ale,Green Flash Hop Head Red Ale,Green Flash Brewing Co.
United States,Oregon,American Strong Ale,Double Dead Guy Ale,Rogue Ales
United States,Colorado,American IPA,Deviant Dale's IPA,Oskar Blues Grill & Brew
United States,California,American Brown Ale,Sierra Nevada Tumbler Autumn Brown Ale,Sierra Nevada Brewing Co.
United States,New York,Belgian Pale Ale,Rare Vos (Amber Ale),Brewery Ommegang
United States,Colorado,Belgian Dark Ale,1554 Enlightened Black Ale,New Belgium Brewing
United States,New Hampshire,American IPA,Redhook Long Hammer IPA,Redhook Ale Brewery
United States,Ohio,American Pale Ale (APA),Great Lakes Burning River Pale Ale,Great Lakes Brewing Co.
United States,California,Old Ale,Old Stock Ale,North Coast Brewing Co.
United States,Colorado,American IPA,Avery India Pale Ale (IPA),Avery Brewing Company
United States,New York,American Double / Imperial IPA,Unearthly (Imperial India Pale Ale),Southern Tier Brewing Company
United States,Pennsylvania,American Amber / Red Ale,Tröegs Hopback Amber Ale,Tröegs Brewing Company
United States,Ohio,Winter Warmer,Great Lakes Christmas Ale,Great Lakes Brewing Co.
United States,Michigan,American Amber / Red Ale,Bell's Amber Ale,"Bell's Brewery, Inc."
United States,Colorado,Tripel,Trippel Belgian Style Ale,New Belgium Brewing
United States,Kentucky,English Strong Ale,Kentucky Bourbon Barrel Ale,Alltech's Lexington Brewing and Distilling Co.
United States,Colorado,Old Ale,Hibernation Ale,Great Divide Brewing Company
United States,California,American Double / Imperial IPA,A Little Sumpin' Extra! Ale,Lagunitas Brewing Company
United States,Oregon,American Porter,Mocha Porter,Rogue Ales
United States,Michigan,American Pale Ale (APA),Founders Pale Ale,Founders Brewing Company
United States,Maine,American Pale Ale (APA),Peeper Ale,Maine Beer Company
United States,Michigan,American Double / Imperial Stout,30th Anniversary Ale,"Bell's Brewery, Inc."
United States,Colorado,American Pale Lager,Shift Pale Lager,New Belgium Brewing
United States,New York,Belgian Pale Ale,Ommegang BPA (Belgian-style Pale Ale),Brewery Ommegang
United States,California,American IPA,Big Daddy IPA,Speakeasy Ales & Lagers
United States,Michigan,Dubbel,Hell Hath No Fury Ale,"Bell's Brewery, Inc."
United States,California,American Porter,Maillard's Odyssey: Imperial Dark Ale (Beer Camp Across America),Sierra Nevada Brewing Co.
United States,Massachusetts,Pumpkin Ale,Samuel Adams Fat Jack Double Pumpkin Ale,Boston Beer Company (Samuel Adams)
United States,California,American Pale Ale (APA),Stone Pale Ale,Stone Brewing
United States,Oregon,American Black Ale,Hop In The Dark Cascadian Dark Ale,Deschutes Brewery
United States,Florida,Pumpkin Ale,Good Gourd Imperial Pumpkin Ale,Cigar City Brewing
United States,Minnesota,American IPA,Masala Mama India Pale Ale,Minneapolis Town Hall Brewery
United States,Colorado,English Pale Ale,Denver Pale Ale,Great Divide Brewing Company
United States,New York,Cream Ale,Genesee Cream Ale,Genesee Brewing Co. / Dundee Brewing Co.
United States,California,American Double / Imperial IPA,Road Warrior Imperial Rye India Pale Ale,Green Flash Brewing Co.
United States,California,American Wild Ale,Brux Domesticated Wild Ale,Sierra Nevada Brewing Co.
